printing l1
[Gene80_Down, Gene4_Down] : 30
[Gene82_Down, Gene2_Down] : 43
[Gene60_UP, Gene95_Down] : 33
[Gene39_UP, Gene44_Down] : 32
[Gene81_UP, Gene68_Down] : 35
[Gene94_UP, Gene57_Down] : 31
[Gene89_Down, Gene88_Down] : 30
[Gene78_UP, Gene77_UP] : 34
[Gene66_UP, Gene89_UP] : 36
[Gene14_Down, Gene68_Down] : 36
[Gene69_Down, Gene13_Down] : 42
[Gene24_Down, Gene58_Down] : 37
[Gene38_Down, Gene44_Down] : 39
[Gene43_Down, Gene41_Down] : 33
[Gene52_Down, Gene32_Down] : 45
[Gene71_Down, Gene13_Down] : 30
[Gene24_Down, Gene60_Down] : 32
[Gene44_Down, Gene40_Down] : 32
[Gene65_Down, Gene2_Down] : 45
[Gene50_Down, Gene34_Down] : 31
[Gene11_Down, Gene73_Down] : 30
[Gene10_Down, Gene74_Down] : 35
[Gene87_UP, Gene1_UP] : 45
[Gene84_UP, Gene4_UP] : 30
[Gene92_Down, Gene82_Down] : 37
[Gene26_UP, Gene97_Down] : 30
[Gene26_UP, Gene45_UP] : 30
[Gene12_UP, Gene59_UP] : 39
[Gene17_UP, Gene54_UP] : 32
[Gene100_Down, Gene2_Down] : 30
[Gene93_UP, Gene2_Down] : 32
[Gene38_Down, Gene34_UP] : 32
[Gene61_Down, Gene37_UP] : 30
[Gene5_Down, Gene38_Down] : 32
[Gene9_Down, Gene34_Down] : 32
[Gene41_Down, Gene48_UP] : 37
[Gene59_UP, Gene88_Down] : 55
[Gene76_Down, Gene84_UP] : 35
[Gene23_UP, Gene39_Down] : 34
[Gene6_UP, Gene5_UP] : 41
[Gene3_UP, Gene8_UP] : 31
[Gene99_UP, Gene48_UP] : 32
[Gene49_Down, Gene94_UP] : 33
[Gene41_Down, Gene30_Down] : 36
[Gene10_Down, Gene61_Down] : 35
[Gene51_Down, Gene20_Down] : 30
[Gene31_Down, Gene40_Down] : 30
[Gene12_UP, Gene22_UP] : 30
[Gene40_UP, Gene76_Down] : 30
[Gene73_Down, Gene1_UP] : 37
[Gene42_Down, Gene36_UP] : 35
[Gene38_Down, Gene57_UP] : 37
[Gene6_UP, Gene21_UP] : 44
[Gene26_UP, Gene1_UP] : 34
[Gene64_UP, Gene2_Down] : 34
[Gene64_Down, Gene40_Down] : 31
[Gene34_Down, Gene70_Down] : 41
[Gene62_Down, Gene42_Down] : 31
[Gene24_Down, Gene80_Down] : 45
[Gene63_Down, Gene41_Down] : 31
[Gene82_Down, Gene22_Down] : 30
[Gene52_Down, Gene90_UP] : 32
[Gene62_Down, Gene45_UP] : 32
[Gene15_Down, Gene85_UP] : 31
[Gene71_UP, Gene82_Down] : 31
[Gene17_UP, Gene27_UP] : 32
[Gene73_Down, Gene25_UP] : 33
[Gene30_Down, Gene100_Down] : 30
[Gene1_UP, Gene57_Down] : 35
[Gene11_Down, Gene41_Down] : 32
[Gene10_Down, Gene42_Down] : 35
[Gene20_Down, Gene32_Down] : 40
[Gene40_Down, Gene12_Down] : 30
[Gene1_UP, Gene90_Down] : 35
[Gene44_Down, Gene89_UP] : 36
[Gene5_UP, Gene2_Down] : 36
[Gene100_Down, Gene68_Down] : 37
[Gene24_Down, Gene48_UP] : 33
[Gene38_Down, Gene8_UP] : 45
[Gene38_Down, Gene19_UP] : 37
[Gene64_UP, Gene97_Down] : 31
[Gene40_UP, Gene91_UP] : 30
[Gene19_Down, Gene16_Down] : 36
[Gene6_UP, Gene50_UP] : 35
[Gene55_UP, Gene1_UP] : 41
[Gene53_Down, Gene2_Down] : 32
[Gene52_Down, Gene3_Down] : 32
[Gene28_Down, Gene94_UP] : 43
[Gene73_UP, Gene38_Down] : 39
[Gene40_Down, Gene13_Down] : 39
[Gene11_Down, Gene42_Down] : 31
[Gene10_Down, Gene43_Down] : 32
[Gene41_Down, Gene12_Down] : 32
[Gene87_UP, Gene9_UP] : 35
[Gene7_UP, Gene89_UP] : 31
[Gene9_UP, Gene8_UP] : 34
[Gene91_UP, Gene85_UP] : 32
[Gene80_Down, Gene46_UP] : 31
[Gene26_UP, Gene25_UP] : 31
[Gene12_UP, Gene39_UP] : 30
[Gene76_Down, Gene27_UP] : 34
[Gene65_Down, Gene90_UP] : 30
[Gene5_Down, Gene8_UP] : 34
[Gene8_UP, Gene42_Down] : 36
[Gene23_UP, Gene44_Down] : 33
[Gene8_UP, Gene4_Down] : 34
[Gene81_UP, Gene32_Down] : 36
[Gene91_UP, Gene31_UP] : 32
[Gene72_UP, Gene50_UP] : 40
[Gene78_UP, Gene58_Down] : 39
[Gene58_Down, Gene1_UP] : 45
[Gene28_Down, Gene21_UP] : 47
[Gene6_UP, Gene53_Down] : 31
[Gene8_UP, Gene33_Down] : 36
[Gene59_UP, Gene20_Down] : 39
[Gene94_UP, Gene27_Down] : 30
[Gene92_Down, Gene55_UP] : 30
[Gene87_UP, Gene32_Down] : 46
[Gene31_Down, Gene89_UP] : 34
[Gene52_Down, Gene26_UP] : 38
[Gene41_Down, Gene42_Down] : 34
[Gene51_Down, Gene32_Down] : 41
[Gene52_Down, Gene31_Down] : 33
[Gene70_Down, Gene13_Down] : 45
[Gene10_Down, Gene73_Down] : 36
[Gene46_UP, Gene68_Down] : 32
[Gene17_UP, Gene88_Down] : 39
[Gene3_UP, Gene28_Down] : 36
[Gene6_UP, Gene26_Down] : 32
[Gene96_Down, Gene35_UP] : 32
[Gene86_Down, Gene21_UP] : 33
[Gene78_UP, Gene32_Down] : 40
[Gene6_UP, Gene79_Down] : 33
[Gene72_UP, Gene80_Down] : 44
[Gene41_Down, Gene40_UP] : 31
[Gene28_Down, Gene29_UP] : 31
[Gene48_Down, Gene88_Down] : 32
[Gene38_Down, Gene98_Down] : 38
[Gene87_UP, Gene42_Down] : 33
[Gene100_Down, Gene88_Down] : 37
[Gene69_Down, Gene89_UP] : 33
[Gene28_Down, Gene33_UP] : 31
[Gene63_Down, Gene81_UP] : 32
[Gene3_UP, Gene76_Down] : 35
[Gene6_UP, Gene12_UP] : 37
[Gene17_UP, Gene1_UP] : 35
[Gene43_UP, Gene40_Down] : 30
[Gene72_UP, Gene70_Down] : 49
[Gene92_Down, Gene70_Down] : 40
[Gene80_Down, Gene82_Down] : 37
[Gene5_UP, Gene29_Down] : 31
[Gene72_UP, Gene55_Down] : 33
[Gene31_Down, Gene72_UP] : 36
[Gene22_UP, Gene61_Down] : 30
[Gene31_Down, Gene59_UP] : 36
[Gene40_Down, Gene70_Down] : 35
[Gene80_Down, Gene30_Down] : 34
[Gene69_Down, Gene54_UP] : 45
[Gene83_Down, Gene1_UP] : 33
[Gene1_UP, Gene30_UP] : 30
[Gene31_Down, Gene2_Down] : 35
[Gene46_Down, Gene89_UP] : 30
[Gene38_Down, Gene84_UP] : 42
[Gene92_UP, Gene1_UP] : 34
[Gene3_UP, Gene90_UP] : 30
[Gene6_UP, Gene79_UP] : 33
[Gene78_UP, Gene7_UP] : 32
[Gene8_UP, Gene77_UP] : 41
[Gene80_Down, Gene35_UP] : 34
[Gene67_UP, Gene58_Down] : 40
[Gene97_Down, Gene27_UP] : 35
[Gene96_Down, Gene66_UP] : 44
[Gene6_UP, Gene93_Down] : 33
[Gene92_Down, Gene54_UP] : 35
[Gene91_UP, Gene32_Down] : 48
[Gene87_UP, Gene70_Down] : 46
[Gene16_Down, Gene45_UP] : 34
[Gene5_UP, Gene70_Down] : 38
[Gene18_UP, Gene38_Down] : 37
[Gene5_UP, Gene94_UP] : 34
[Gene98_UP, Gene1_UP] : 30
[Gene91_UP, Gene8_UP] : 40
[Gene6_UP, Gene93_UP] : 33
[Gene66_Down, Gene72_UP] : 31
[Gene56_UP, Gene51_Down] : 33
[Gene38_Down, Gene7_Down] : 40
[Gene9_Down, Gene77_UP] : 33
[Gene58_Down, Gene94_UP] : 44
[Gene97_Down, Gene95_Down] : 38
[Gene30_Down, Gene25_UP] : 31
[Gene74_Down, Gene70_Down] : 34
[Gene64_Down, Gene80_Down] : 35
[Gene52_Down, Gene92_Down] : 34
[Gene62_Down, Gene82_Down] : 36
[Gene51_Down, Gene94_UP] : 34
[Gene2_Down, Gene94_UP] : 42
[Gene87_UP, Gene64_UP] : 33
[Gene57_UP, Gene94_UP] : 31
[Gene72_UP, Gene79_UP] : 32
[Gene92_UP, Gene59_UP] : 38
[Gene67_UP, Gene84_UP] : 35
[Gene73_UP, Gene78_UP] : 30
[Gene63_UP, Gene8_UP] : 32
[Gene5_UP, Gene66_UP] : 36
[Gene3_UP, Gene65_Down] : 33
[Gene23_UP, Gene11_Down] : 31
[Gene60_UP, Gene2_Down] : 37
[Gene76_Down, Gene49_UP] : 34
[Gene64_Down, Gene89_UP] : 33
[Gene32_Down, Gene2_Down] : 44
[Gene30_Down, Gene4_Down] : 31
[Gene59_UP, Gene99_Down] : 31
[Gene12_UP, Gene68_Down] : 30
[Gene73_Down, Gene71_UP] : 33
[Gene35_Down, Gene47_UP] : 34
[Gene72_UP, Gene99_Down] : 36
[Gene33_UP, Gene13_Down] : 35
[Gene72_UP, Gene30_Down] : 41
[Gene77_UP, Gene65_Down] : 35
[Gene19_Down, Gene93_UP] : 36
[Gene58_Down, Gene97_Down] : 37
[Gene79_Down, Gene76_Down] : 37
[Gene69_Down, Gene86_Down] : 33
[Gene52_Down, Gene19_UP] : 31
[Gene86_Down, Gene36_UP] : 35
[Gene12_UP, Gene45_UP] : 36
[Gene21_UP, Gene36_UP] : 36
[Gene15_Down, Gene94_UP] : 32
[Gene97_Down, Gene16_Down] : 36
[Gene85_Down, Gene28_Down] : 37
[Gene69_Down, Gene44_Down] : 31
[Gene17_Down, Gene96_Down] : 34
[Gene25_Down, Gene88_Down] : 31
[Gene26_Down, Gene58_Down] : 31
[Gene80_Down, Gene26_UP] : 34
[Gene16_Down, Gene68_Down] : 36
[Gene69_Down, Gene15_Down] : 36
[Gene28_Down, Gene56_Down] : 36
[Gene19_Down, Gene65_Down] : 31
[Gene38_Down, Gene46_Down] : 36
[Gene10_Down, Gene41_Down] : 49
[Gene56_UP, Gene11_Down] : 33
[Gene99_UP, Gene49_Down] : 30
[Gene59_UP, Gene75_Down] : 32
[Gene59_UP, Gene3_Down] : 34
[Gene1_UP, Gene42_Down] : 36
[Gene32_Down, Gene4_UP] : 33
[Gene59_UP, Gene17_Down] : 34
[Gene52_Down, Gene4_Down] : 33
[Gene50_Down, Gene91_UP] : 33
[Gene100_Down, Gene25_UP] : 30
[Gene6_UP, Gene60_UP] : 36
[Gene9_Down, Gene48_UP] : 32
[Gene28_Down, Gene13_Down] : 50
[Gene17_Down, Gene24_Down] : 32
[Gene38_Down, Gene95_UP] : 31
[Gene56_UP, Gene20_Down] : 31
[Gene41_Down, Breast Cancer] : 31
[Gene53_Down, Gene96_Down] : 39
[Gene79_Down, Gene70_Down] : 33
[Gene61_Down, Gene88_Down] : 34
[Gene52_Down, Gene97_Down] : 38
[Gene69_Down, Gene80_Down] : 41
[Gene58_Down, Gene17_UP] : 40
[Gene76_Down, Gene73_Down] : 34
[Gene51_Down, Gene98_Down] : 31
[Gene19_Down, Gene1_UP] : 37
[Gene47_UP, Gene88_Down] : 49
[Gene23_UP, Gene21_UP] : 35
[Gene96_Down, Gene57_UP] : 32
[Gene14_UP, Gene53_Down] : 31
[Gene96_Down, Gene99_Down] : 33
[Gene87_UP, Gene37_UP] : 40
[Gene79_UP, Gene45_UP] : 30
[Gene47_UP, Gene77_UP] : 41
[Gene59_UP, Gene65_UP] : 31
[Gene99_UP, Gene25_UP] : 30
[Gene35_UP, Gene89_UP] : 32
[Gene67_UP, Gene57_UP] : 32
[Gene11_Down, Gene77_UP] : 35
[Gene66_UP, Gene95_Down] : 34
[Gene20_Down, Gene1_UP] : 35
[Gene64_Down, Gene71_UP] : 33
[Gene73_Down, Gene77_UP] : 31
[Gene34_Down, Gene27_UP] : 31
[Gene38_Down, Gene40_UP] : 34
[Gene20_Down, Gene54_UP] : 40
[Gene25_Down, Gene32_Down] : 30
[Gene44_Down, Gene13_Down] : 46
[Gene24_Down, Gene33_Down] : 33
[Gene41_Down, Gene16_Down] : 36
[Gene7_Down, Gene74_Down] : 31
[Gene8_UP, Gene27_UP] : 31
[Gene92_Down, Gene1_UP] : 35
[Gene87_UP, Gene56_Down] : 30
[Gene68_Down, Gene89_UP] : 33
[Gene69_Down, Gene1_UP] : 44
[Gene6_UP, Gene82_Down] : 45
[Gene59_UP, Gene57_UP] : 33
[Gene17_UP, Gene99_UP] : 33
[Gene67_UP, Gene49_UP] : 30
[Gene27_UP, Gene89_UP] : 32
[Gene37_UP, Gene79_UP] : 30
[Gene87_UP, Gene29_UP] : 34
[Gene72_UP, Gene12_Down] : 36
[Gene6_UP, Gene87_UP] : 46
[Gene8_UP, Gene85_UP] : 32
[Gene12_UP, Gene2_Down] : 33
[Gene72_UP, Gene5_Down] : 37
[Gene47_UP, Gene95_Down] : 38
[Gene96_Down, Gene45_UP] : 39
[Gene6_UP, Gene30_Down] : 37
[Gene17_Down, Gene13_Down] : 32
[Gene62_UP, Gene88_Down] : 34
[Gene73_Down, Gene54_UP] : 33
[Gene93_UP, Gene99_UP] : 30
[Gene52_Down, Gene74_UP] : 36
[Gene83_Down, Gene81_UP] : 31
[Gene39_UP, Gene48_UP] : 34
[Gene34_Down, Gene98_UP] : 30
[Gene72_UP, Gene11_UP] : 30
[Gene12_UP, Gene71_UP] : 33
[Gene23_UP, Gene60_UP] : 30
[Gene24_Down, Gene83_UP] : 32
[Gene16_Down, Gene98_UP] : 31
[Gene10_Down, Gene27_UP] : 36
[Gene28_Down, Gene55_Down] : 31
[Gene69_Down, Gene14_Down] : 30
[Gene38_Down, Gene45_Down] : 30
[Gene15_Down, Gene68_Down] : 33
[Gene80_Down, Gene98_Down] : 31
[Gene18_Down, Gene65_Down] : 31
[Gene83_Down, Gene95_Down] : 30
[Gene96_Down, Gene82_Down] : 52
[Gene88_Down, Gene90_Down] : 31
[Gene39_UP, Gene70_Down] : 32
[Gene6_UP, Gene81_Down] : 33
[Gene78_UP, Gene8_UP] : 39
[Gene59_UP, Gene22_UP] : 42
[Gene56_UP, Gene25_UP] : 33
[Gene45_UP, Gene36_UP] : 33
[Gene27_UP, Gene54_UP] : 32
[Gene64_UP, Gene13_Down] : 37
[Gene9_UP, Gene20_Down] : 31
[Gene16_Down, Gene25_UP] : 33
[Gene55_Down, Gene97_Down] : 30
[Gene84_Down, Gene68_Down] : 31
[Gene57_Down, Gene95_Down] : 32
[Gene96_Down, Gene56_Down] : 36
[Gene64_Down, Gene88_Down] : 35
[Gene76_Down, Gene7_UP] : 32
[Gene73_UP, Gene97_Down] : 31
[Gene50_UP, Gene82_Down] : 36
[Gene86_UP, Gene30_Down] : 31
[Gene34_Down, Gene45_UP] : 37
[Gene33_UP, Gene38_Down] : 36
[Gene72_UP, Gene91_UP] : 48
[Gene92_UP, Gene71_UP] : 30
[Gene7_UP, Gene13_Down] : 32
[Gene52_Down, Gene63_UP] : 33
[Gene62_Down, Gene27_UP] : 33
[Gene16_Down, Gene57_Down] : 31
[Gene24_Down, Gene49_Down] : 32
[Gene28_Down, Gene45_Down] : 30
[Gene35_Down, Gene38_Down] : 36
[Gene58_Down, Gene15_Down] : 35
[Gene39_Down, Gene34_Down] : 31
[Gene71_UP, Gene42_Down] : 31
[Gene45_UP, Gene22_Down] : 33
[Gene9_Down, Gene96_Down] : 34
[Gene12_UP, Gene69_Down] : 33
[Gene73_Down, Gene21_UP] : 34
[Gene7_Down, Gene21_UP] : 33
[Gene6_UP, Gene34_Down] : 39
[Gene55_Down, Gene54_UP] : 30
[Gene58_Down, Gene84_UP] : 37
[Gene80_Down, Gene55_UP] : 40
[Gene51_Down, Gene21_UP] : 42
[Gene84_UP, Gene62_Down] : 32
[Gene31_Down, Gene27_UP] : 33
[Gene97_Down, Gene82_Down] : 51
[Gene80_Down, Gene99_Down] : 30
[Gene84_Down, Gene95_Down] : 31
[Gene96_Down, Gene83_Down] : 30
[Gene43_UP, Gene65_Down] : 32
[Gene80_Down, Gene99_UP] : 34
[Gene19_Down, Gene48_UP] : 31
[Gene87_UP, Gene52_Down] : 47
[Gene26_Down, Gene1_UP] : 35
[Gene39_UP, Gene95_Down] : 30
[Gene96_Down, Gene94_UP] : 39
[Gene10_Down, Gene70_Down] : 50
[Gene64_Down, Gene8_UP] : 36
[Gene29_UP, Gene13_Down] : 36
[Gene68_Down, Gene31_UP] : 34
[Gene6_UP, Gene4_Down] : 35
[Gene49_UP, Gene16_Down] : 35
[Gene10_Down, Gene50_UP] : 32
[Gene10_Down, Gene34_UP] : 32
[Gene71_UP, Gene32_Down] : 37
[Gene11_Down, Gene51_Down] : 30
[Gene52_Down, Gene10_Down] : 47
[Gene30_Down, Gene32_Down] : 37
[Gene7_UP, Gene62_Down] : 30
[Gene20_UP, Gene15_Down] : 30
[Gene51_Down, Gene43_UP] : 31
[Gene67_UP, Gene40_Down] : 34
[Gene10_Down, Gene89_UP] : 41
[Gene28_Down, Gene2_Down] : 50
[Gene63_UP, Gene100_Down] : 30
[Gene18_Down, Gene36_UP] : 32
[Gene43_UP, Gene88_Down] : 32
[Gene3_Down, Gene95_Down] : 31
[Gene96_Down, Gene2_Down] : 45
[Gene39_UP, Gene58_Down] : 30
[Gene69_Down, Gene100_UP] : 30
[Gene19_UP, Gene77_UP] : 30
[Gene67_UP, Gene29_UP] : 31
[Gene47_UP, Gene49_UP] : 36
[Gene59_UP, Gene37_UP] : 40
[Gene14_Down, Gene1_UP] : 34
[Gene57_UP, Gene70_Down] : 35
[Gene3_Down, Gene13_Down] : 32
[Gene18_Down, Gene9_UP] : 30
[Gene8_UP, Gene93_UP] : 33
[Gene7_UP, Gene94_UP] : 32
[Gene11_Down, Gene48_UP] : 34
[Gene56_UP, Gene59_UP] : 39
[Gene67_UP, Gene48_UP] : 37
[Gene49_UP, Gene66_UP] : 33
[Gene26_UP, Gene89_UP] : 36
[Gene78_UP, Gene37_UP] : 30
[Gene49_UP, Gene17_UP] : 31
[Gene47_UP, Gene19_UP] : 31
[Gene59_UP, Gene51_Down] : 43
[Gene97_Down, Gene89_UP] : 35
[Gene59_UP, Gene100_UP] : 35
[Gene34_Down, Gene48_UP] : 33
[Gene11_Down, Gene96_Down] : 42
[Gene37_Down, Gene70_Down] : 31
[Gene65_Down, Gene42_Down] : 31
[Gene32_Down, Gene75_Down] : 30
[Gene80_Down, Gene27_Down] : 32
[Gene52_Down, Gene55_Down] : 32
[Gene94_Down, Gene13_Down] : 30
[Gene83_Down, Gene24_Down] : 31
[Gene63_Down, Gene44_Down] : 33
[Gene25_Down, Gene82_Down] : 31
[Gene73_Down, Gene34_Down] : 35
[Gene10_Down, Gene97_Down] : 39
[Gene92_Down, Gene15_Down] : 32
[Gene5_UP, Gene56_Down] : 33
[Gene78_UP, Gene98_Down] : 30
[Gene79_Down, Gene58_Down] : 34
[Gene69_Down, Gene68_Down] : 38
[Gene49_Down, Gene88_Down] : 37
[Gene32_Down, Gene90_UP] : 35
[Gene85_UP, Gene95_Down] : 31
[Gene67_UP, Gene14_Down] : 33
[Gene55_UP, Gene57_Down] : 33
[Gene41_Down, Gene66_UP] : 39
[Gene86_Down, Gene45_UP] : 31
[Gene24_Down, Gene57_UP] : 32
[Gene85_Down, Gene91_UP] : 33
[Gene63_Down, Gene2_Down] : 30
[Gene82_Down, Gene79_UP] : 31
[Gene55_UP, Gene29_Down] : 32
[Gene3_Down, Gene68_Down] : 33
