printing l1
{Gene96_Down,Gene88_Down} : 49
{Gene8_UP,Gene87_UP} : 44
{Gene4_Down,Gene96_Down} : 37
{Gene69_Down,Gene79_Down} : 30
{Gene36_UP,Gene76_Down} : 42
{Gene27_Down,Gene69_Down} : 32
{Gene1_UP,Gene57_UP} : 34
{Gene96_Down,Gene62_UP} : 33
{Gene70_Down,Gene92_Down} : 40
{Gene48_UP,Gene4_Down} : 32
{Gene50_UP,Gene10_Down} : 32
{Gene6_UP,Gene8_UP} : 37
{Gene50_Down,Gene80_Down} : 34
{Gene62_UP,Gene24_Down} : 31
{Gene68_Down,Gene99_UP} : 35
{Gene95_Down,Gene79_UP} : 30
{Gene37_UP,Gene2_Down} : 38
{Gene69_Down,Gene4_UP} : 30
{Gene49_UP,Gene58_Down} : 34
{Gene26_UP,Gene71_UP} : 34
{Gene52_Down,Gene47_UP} : 45
{Gene71_UP,Gene57_Down} : 31
{Gene35_Down,Gene81_UP} : 31
{Gene17_UP,Gene69_Down} : 32
{Gene34_Down,Gene61_UP} : 31
{Gene50_Down,Gene10_Down} : 38
{Gene71_UP,Gene35_Down} : 34
{Gene93_Down,Gene67_UP} : 33
{Gene13_Down,Gene100_UP} : 33
{Gene72_UP,Gene61_Down} : 39
{Gene88_Down,Gene49_Down} : 37
{Gene5_Down,Gene8_UP} : 34
{Gene80_Down,Gene79_UP} : 34
{Gene66_UP,Gene58_Down} : 37
{Gene62_Down,Gene90_UP} : 30
{Gene87_UP,Gene62_UP} : 31
{Gene36_UP,Gene69_Down} : 39
{Gene16_UP,Gene38_Down} : 32
{Gene59_UP,Gene81_Down} : 35
{Gene24_Down,Gene21_UP} : 31
{Gene13_Down,Gene25_UP} : 40
{Gene37_UP,Gene39_UP} : 30
{Gene16_Down,Gene54_UP} : 37
{Gene18_UP,Gene32_Down} : 31
{Gene75_UP,Gene7_Down} : 30
{Gene30_Down,Gene100_Down} : 30
{Gene35_UP,Gene67_UP} : 30
{Gene31_Down,Gene16_Down} : 30
{Gene22_UP,Gene92_UP} : 30
{Gene40_Down,Gene48_UP} : 34
{Gene88_Down,Gene61_Down} : 34
{Gene5_UP,Gene82_Down} : 34
{Gene51_Down,Gene20_Down} : 30
{Gene13_Down,Gene18_Down} : 34
{Gene24_Down,Gene93_Down} : 30
{Gene36_UP,Gene25_UP} : 33
{Gene28_Down,Gene42_UP} : 32
{Gene48_UP,Gene40_Down} : 34
{Gene72_UP,Gene93_Down} : 34
{Gene91_UP,Gene51_Down} : 38
{Gene44_Down,Gene72_UP} : 49
{Gene45_UP,Gene42_Down} : 32
{Gene17_UP,Gene51_Down} : 31
{Gene54_UP,Gene73_Down} : 33
{Gene7_Down,Gene32_Down} : 35
{Gene72_UP,Gene15_UP} : 32
{Gene56_Down,Gene47_UP} : 32
{Gene60_UP,Gene20_Down} : 30
{Gene82_Down,Gene16_Down} : 43
{Gene78_UP,Gene42_Down} : 35
{Gene36_UP,Gene22_UP} : 35
{Gene54_UP,Gene12_Down} : 32
{Gene8_UP,Gene67_UP} : 39
{Gene27_UP,Gene70_Down} : 32
{Gene53_Down,Gene69_Down} : 32
{Gene45_UP,Gene28_Down} : 41
{Gene60_Down,Gene8_UP} : 31
{Gene46_Down,Gene24_Down} : 33
{Gene28_Down,Gene59_UP} : 51
{Gene68_Down,Gene22_UP} : 34
{Gene19_Down,Gene93_UP} : 36
{Gene97_Down,Gene91_UP} : 36
{Gene30_Down,Gene65_Down} : 41
{Gene49_Down,Gene96_Down} : 40
{Gene96_Down,Gene99_UP} : 38
{Gene97_Down,Gene33_UP} : 30
{Gene28_Down,Gene22_UP} : 38
{Gene17_UP,Gene45_UP} : 34
{Gene97_Down,Gene7_UP} : 35
{Gene86_Down,Gene68_Down} : 33
{Gene81_UP,Gene78_UP} : 32
{Gene56_Down,Gene10_Down} : 34
{Gene13_Down,Gene56_Down} : 32
{Gene32_Down,Gene5_Down} : 30
{Gene78_UP,Gene90_UP} : 31
{Gene26_UP,Gene8_UP} : 34
{Gene6_UP,Gene71_UP} : 39
{Gene53_UP,Gene70_Down} : 37
{Gene54_UP,Gene85_Down} : 34
{Gene78_UP,Gene81_UP} : 32
{Gene4_Down,Gene71_UP} : 32
{Gene77_UP,Gene47_UP} : 41
{Gene70_Down,Gene85_Down} : 34
{Gene20_Down,Gene21_UP} : 34
{Gene91_UP,Gene22_UP} : 32
{Gene73_UP,Gene38_Down} : 39
{Gene62_UP,Gene67_UP} : 33
{Gene32_Down,Gene13_Down} : 44
{Gene28_Down,Gene72_UP} : 49
{Gene79_Down,Gene8_UP} : 36
{Gene59_UP,Gene41_Down} : 47
{Gene8_UP,Gene50_UP} : 32
{Gene32_Down,Gene87_UP} : 46
{Gene41_Down,Gene46_Down} : 38
{Gene26_UP,Gene15_Down} : 31
{Gene87_UP,Gene38_Down} : 49
{Gene21_UP,Gene61_UP} : 31
{Gene87_UP,Gene84_UP} : 34
{Gene8_UP,Gene84_UP} : 32
{Gene2_Down,Gene83_UP} : 31
{Gene39_UP,Gene69_Down} : 31
{Gene22_Down,Gene41_Down} : 34
{Gene88_Down,Gene7_Down} : 36
{Gene12_Down,Gene47_UP} : 32
{Gene79_UP,Gene65_Down} : 30
{Gene58_Down,Gene36_UP} : 36
{Gene25_UP,Gene54_UP} : 39
{Gene5_Down,Gene21_UP} : 31
{Gene44_Down,Gene2_Down} : 35
{Gene52_Down,Gene28_Down} : 52
{Gene60_UP,Gene41_Down} : 33
{Gene77_UP,Gene80_Down} : 39
{Gene64_UP,Gene2_Down} : 34
{Gene67_UP,Gene64_Down} : 34
{Gene84_UP,Gene38_Down} : 42
{Gene80_Down,Gene96_Down} : 42
{Gene91_UP,Gene61_Down} : 35
{Gene34_Down,Gene72_UP} : 42
{Gene4_Down,Gene87_UP} : 37
{Gene53_Down,Gene80_Down} : 34
{Gene59_UP,Gene75_UP} : 44
{Gene7_UP,Gene62_Down} : 30
{Gene55_Down,Gene75_UP} : 31
{Gene26_UP,Gene45_UP} : 30
{Gene90_UP,Gene25_UP} : 33
{Gene9_Down,Gene70_Down} : 35
{Gene25_Down,Gene96_Down} : 31
{Gene18_Down,Gene45_UP} : 34
{Gene63_Down,Gene11_Down} : 30
{Gene7_Down,Gene61_Down} : 30
{Gene44_Down,Gene54_UP} : 38
{Gene51_Down,Gene10_Down} : 40
{Gene61_UP,Gene38_Down} : 34
{Gene72_UP,Gene76_UP} : 31
{Gene43_Down,Gene66_UP} : 34
{Gene90_UP,Gene89_UP} : 33
{Gene16_Down,Gene43_Down} : 30
{Gene80_Down,Gene29_UP} : 31
{Gene21_UP,Gene63_UP} : 33
{Gene70_Down,Gene34_Down} : 41
{Gene11_Down,Gene12_UP} : 32
{Gene65_Down,Gene44_UP} : 32
{Gene47_UP,Gene32_Down} : 45
{Gene90_UP,Gene8_UP} : 35
{Gene9_Down,Gene82_Down} : 31
{Gene10_Down,Gene84_UP} : 37
{Gene37_UP,Gene36_UP} : 31
{Gene79_UP,Gene68_Down} : 31
{Gene7_UP,Gene41_Down} : 34
{Gene73_Down,Gene97_Down} : 30
{Gene88_Down,Gene90_Down} : 31
{Gene65_Down,Gene51_Down} : 33
{Gene62_Down,Gene66_UP} : 31
{Gene10_Down,Gene74_Down} : 35
{Gene47_UP,Gene44_Down} : 35
{Gene1_UP,Gene44_UP} : 33
{Gene94_UP,Gene50_UP} : 32
{Gene16_Down,Gene87_UP} : 38
{Gene81_Down,Gene72_UP} : 35
{Gene25_UP,Gene77_UP} : 35
{Gene97_Down,Gene35_Down} : 30
{Gene24_Down,Gene98_Down} : 34
{Gene51_Down,Gene54_UP} : 39
{Gene82_Down,Gene51_UP} : 31
{Gene45_UP,Gene39_UP} : 31
{Gene80_Down,Gene6_UP} : 40
{Gene38_Down,Gene61_Down} : 39
{Gene51_Down,Gene65_Down} : 33
{Gene71_UP,Gene5_UP} : 34
{Gene18_Down,Gene9_UP} : 30
{Gene70_Down,Gene67_UP} : 47
{Gene17_UP,Gene28_Down} : 40
{Gene8_Down,Gene28_Down} : 30
{Gene28_Down,Gene74_Down} : 37
{Gene8_UP,Gene49_Down} : 37
{Gene52_Down,Gene39_Down} : 32
{Gene96_Down,Gene92_Down} : 36
{Gene57_UP,Gene35_UP} : 30
{Gene41_Down,Breast Cancer} : 31
{Gene21_UP,Gene45_UP} : 35
{Gene69_Down,Gene46_UP} : 31
{Gene1_UP,Gene32_Down} : 48
{Gene8_UP,Gene41_Down} : 43
{Gene91_UP,Gene95_UP} : 30
{Gene95_Down,Gene2_Down} : 36
{Gene47_UP,Gene87_UP} : 48
{Gene84_UP,Gene74_Down} : 33
{Gene79_UP,Gene87_UP} : 35
{Gene34_UP,Gene2_Down} : 30
{Gene75_UP,Gene94_UP} : 32
{Gene15_Down,Gene76_Down} : 35
{Gene76_Down,Gene50_UP} : 32
{Gene82_Down,Gene97_Down} : 51
{Gene34_Down,Gene30_Down} : 32
{Gene16_Down,Gene85_Down} : 31
{Gene56_Down,Gene58_Down} : 33
{Gene44_Down,Gene52_Down} : 38
{Gene71_UP,Gene1_UP} : 39
{Gene81_Down,Gene59_UP} : 35
{Gene91_UP,Gene46_Down} : 31
{Gene75_UP,Gene44_Down} : 33
{Gene32_Down,Gene86_UP} : 33
{Gene58_Down,Gene39_UP} : 30
{Gene31_Down,Gene59_UP} : 36
{Gene25_UP,Gene62_Down} : 30
{Gene88_Down,Gene26_UP} : 38
{Gene26_UP,Gene96_Down} : 36
{Gene81_UP,Gene7_Down} : 30
{Gene20_Down,Gene68_Down} : 32
{Gene2_Down,Gene64_UP} : 34
{Gene63_Down,Gene84_UP} : 30
{Gene26_Down,Gene8_UP} : 32
{Gene17_UP,Gene38_Down} : 43
{Gene2_Down,Gene26_UP} : 40
{Gene11_Down,Gene93_UP} : 30
{Gene68_Down,Gene38_Down} : 44
{Gene2_Down,Gene19_UP} : 31
{Gene43_Down,Gene10_Down} : 32
{Gene11_Down,Gene34_Down} : 33
{Gene47_UP,Gene9_Down} : 37
{Gene1_UP,Gene92_Down} : 35
{Gene10_Down,Gene5_UP} : 39
{Gene10_Down,Gene3_Down} : 37
{Gene75_UP,Gene61_Down} : 30
{Gene71_UP,Gene43_Down} : 30
{Gene39_UP,Gene10_Down} : 34
{Gene86_Down,Gene69_Down} : 33
{Gene72_UP,Gene46_Down} : 38
{Gene35_UP,Gene13_Down} : 33
{Gene90_Down,Gene10_Down} : 34
{Gene15_Down,Gene91_UP} : 35
{Gene2_Down,Gene46_Down} : 34
{Gene91_UP,Gene70_Down} : 46
{Gene24_Down,Gene2_Down} : 42
{Gene95_Down,Gene83_UP} : 30
{Gene77_UP,Gene66_UP} : 35
{Gene52_Down,Gene85_UP} : 32
{Gene88_Down,Gene68_Down} : 44
{Gene42_UP,Gene28_Down} : 32
{Gene19_Down,Gene73_Down} : 31
{Gene85_Down,Gene41_Down} : 30
{Gene71_UP,Gene97_Down} : 31
{Gene99_UP,Gene26_UP} : 30
{Gene30_Down,Gene38_Down} : 45
{Gene57_UP,Gene96_Down} : 32
{Gene27_Down,Gene8_UP} : 35
{Gene54_UP,Gene91_UP} : 39
{Gene15_Down,Gene78_UP} : 35
{Gene37_UP,Gene1_UP} : 41
{Gene73_Down,Gene38_Down} : 34
{Gene18_Down,Gene67_UP} : 34
{Gene16_Down,Gene44_Down} : 36
{Gene82_Down,Gene30_Down} : 35
{Gene66_UP,Gene50_UP} : 31
{Gene51_Down,Gene44_Down} : 33
{Gene41_Down,Gene22_UP} : 30
{Gene10_Down,Gene36_UP} : 40
{Gene91_UP,Gene74_UP} : 31
{Gene6_UP,Gene52_Down} : 43
{Gene97_Down,Gene62_Down} : 34
{Gene96_Down,Gene45_Down} : 32
{Gene5_UP,Gene93_UP} : 30
{Gene73_UP,Gene67_UP} : 32
{Gene98_Down,Gene94_UP} : 36
{Gene7_Down,Gene15_Down} : 31
{Gene2_Down,Gene8_UP} : 41
{Gene95_Down,Gene22_UP} : 35
{Gene79_UP,Gene8_UP} : 30
{Gene98_Down,Gene22_UP} : 30
{Gene37_UP,Gene91_UP} : 38
{Gene26_UP,Gene89_UP} : 36
{Gene98_UP,Gene87_UP} : 34
{Gene25_UP,Gene17_UP} : 31
{Gene31_Down,Gene6_UP} : 33
{Gene2_Down,Gene93_UP} : 32
{Gene97_Down,ALL} : 33
{Gene46_Down,Gene4_UP} : 31
{Gene43_UP,Gene1_UP} : 33
{Gene68_Down,Gene18_Down} : 34
{Gene74_Down,Gene78_UP} : 36
{Gene86_Down,Gene51_Down} : 31
{Gene8_UP,Gene82_Down} : 44
{Gene85_UP,Gene59_UP} : 34
{Gene85_Down,Gene71_UP} : 32
{Gene62_Down,Gene96_Down} : 38
{Gene68_Down,Gene83_Down} : 32
{Gene59_UP,Gene5_Down} : 38
{Gene18_Down,Gene24_Down} : 35
{Gene90_UP,Gene11_Down} : 32
{Gene19_Down,Gene28_Down} : 43
{Gene85_Down,Gene32_Down} : 32
{Gene91_UP,Gene66_UP} : 38
{Gene91_UP,Gene35_Down} : 35
{Gene15_Down,Gene31_UP} : 31
{Gene72_UP,Gene91_UP} : 48
{Gene42_Down,Gene78_UP} : 35
{Gene6_UP,Gene37_Down} : 31
{Gene97_Down,Gene55_UP} : 31
{Gene60_UP,Gene58_Down} : 37
{Gene56_UP,Gene37_UP} : 31
{Gene32_Down,Gene39_UP} : 33
{Gene72_UP,Gene50_Down} : 34
{Gene39_UP,Gene99_UP} : 31
{Gene1_UP,Gene14_Down} : 34
{Gene28_Down,Gene100_UP} : 33
{Gene88_Down,Breast Cancer} : 34
{Gene100_Down,Gene65_Down} : 33
{Gene76_Down,Gene90_Down} : 30
{Gene79_Down,Gene10_Down} : 33
{Gene31_UP,Gene52_Down} : 32
{Gene13_Down,Gene99_UP} : 38
{Gene76_Down,Gene98_UP} : 35
{Gene60_UP,Gene21_UP} : 36
{Gene90_UP,Gene85_Down} : 32
{Gene13_Down,Gene89_Down} : 30
{Gene32_Down,Gene3_UP} : 37
{Gene17_UP,Gene89_UP} : 31
{Gene92_Down,Gene27_Down} : 31
{Gene67_UP,Gene44_UP} : 33
{Gene53_UP,Gene58_Down} : 34
{Gene85_Down,Gene96_Down} : 37
{Gene77_UP,Gene81_UP} : 31
{Gene94_UP,Gene24_Down} : 36
{Gene91_UP,Gene18_UP} : 34
{Gene82_Down,Gene93_UP} : 38
{Gene63_UP,Gene91_UP} : 37
{Gene84_UP,Gene31_Down} : 34
{Gene23_UP,Gene43_UP} : 31
{Gene12_UP,Gene6_UP} : 37
{Gene53_Down,Gene25_UP} : 32
{Gene89_UP,Gene69_Down} : 33
{Gene28_Down,Gene57_UP} : 33
{Gene48_UP,Gene88_Down} : 39
{Gene64_Down,Gene69_Down} : 35
{Gene87_UP,Gene27_UP} : 36
{Gene76_Down,Gene49_UP} : 34
{Gene89_Down,Gene96_Down} : 30
{Gene25_UP,Gene81_UP} : 33
{Gene29_UP,Gene19_Down} : 30
{Gene8_UP,Gene71_UP} : 40
{Gene46_Down,Gene81_UP} : 33
{Gene1_UP,Gene63_UP} : 35
{Gene80_Down,Gene45_UP} : 38
{Gene1_UP,Gene96_Down} : 47
{Gene20_UP,Gene1_UP} : 34
{Gene51_Down,Gene22_UP} : 33
{Gene39_UP,Gene95_Down} : 30
{Gene85_Down,Gene87_UP} : 38
{Gene32_Down,Gene71_UP} : 37
{Gene40_Down,Gene77_UP} : 33
{Gene72_UP,Gene64_Down} : 37
{Gene64_Down,Gene82_Down} : 31
{Gene92_UP,Gene10_Down} : 34
{Gene66_UP,Gene36_UP} : 35
{Gene11_Down,Gene89_UP} : 34
{Gene76_Down,Gene94_UP} : 37
{Gene55_UP,Gene13_Down} : 35
{Gene35_Down,Gene6_UP} : 35
{Gene73_Down,Gene12_UP} : 30
{Gene8_UP,Gene76_Down} : 40
{Gene1_UP,Gene10_Down} : 50
{Gene48_UP,Gene45_UP} : 34
{Gene84_UP,Gene70_Down} : 35
{Gene53_UP,Gene59_UP} : 40
{Gene77_UP,Gene99_UP} : 34
{Gene22_UP,Gene55_UP} : 36
{Gene16_Down,Gene13_Down} : 41
{Gene27_Down,Gene96_Down} : 36
{Gene52_Down,Gene12_UP} : 38
{Gene52_Down,Gene9_Down} : 34
{Gene5_UP,Gene24_Down} : 37
{Gene42_UP,Gene82_Down} : 31
{Gene46_Down,Gene97_Down} : 31
{Gene64_Down,Gene28_Down} : 36
{Gene9_Down,Gene94_UP} : 31
{Gene23_UP,Gene71_UP} : 30
{Gene50_UP,Gene52_Down} : 32
{Gene10_Down,Gene55_UP} : 40
{Gene6_UP,Gene4_Down} : 35
{Gene15_Down,Gene51_Down} : 30
{Gene18_Down,Gene49_Down} : 30
{Gene47_UP,Gene54_UP} : 43
{Gene79_UP,Gene69_Down} : 32
{Gene1_UP,Gene60_UP} : 40
{Gene3_UP,Gene67_UP} : 33
{Gene56_Down,Gene32_Down} : 36
{Gene95_Down,Gene72_UP} : 44
{Gene69_Down,Gene59_UP} : 46
{Gene45_UP,Gene2_Down} : 35
{Gene7_UP,Gene82_Down} : 31
{Gene48_UP,Gene12_UP} : 31
{Gene76_Down,Gene20_UP} : 33
{Gene12_Down,Gene82_Down} : 33
{Gene47_UP,Gene22_Down} : 35
{Gene48_UP,Gene19_Down} : 31
{Gene85_Down,Gene89_UP} : 33
{Gene25_UP,Gene11_Down} : 36
{Gene32_Down,Gene47_UP} : 45
{Gene58_Down,Gene90_Down} : 32
{Gene26_UP,Gene84_UP} : 30
{Gene99_UP,Gene32_Down} : 39
{Gene1_UP,Gene43_Down} : 36
{Gene21_Down,Gene54_UP} : 30
{Gene53_Down,Gene14_UP} : 31
{Gene66_UP,Gene37_UP} : 32
{Gene30_UP,Gene88_Down} : 30
{Gene98_Down,Gene58_Down} : 32
{Gene72_UP,Gene14_Down} : 34
{Gene32_Down,Gene43_Down} : 30
{Gene59_UP,Gene95_Down} : 47
{Gene75_UP,Gene69_Down} : 33
{Gene32_Down,Gene2_Down} : 44
{Gene16_Down,Gene49_UP} : 35
{Gene82_Down,Gene29_UP} : 34
{Gene16_Down,Gene97_Down} : 36
{Gene45_UP,Gene90_UP} : 31
{Gene38_Down,Gene85_UP} : 37
{Gene17_UP,Gene44_Down} : 32
{Gene38_Down,Gene60_Down} : 31
{Gene33_Down,Gene2_Down} : 33
{Gene33_UP,Gene72_UP} : 40
{Gene54_UP,Gene43_Down} : 34
{Gene28_Down,Gene40_Down} : 37
{Gene69_Down,Gene30_Down} : 33
{Gene18_Down,Gene26_Down} : 30
{Gene95_Down,Gene79_Down} : 30
{Gene44_Down,Gene18_Down} : 32
{Gene35_Down,Gene67_UP} : 32
{Gene28_Down,Gene61_UP} : 34
{Gene3_Down,Gene88_Down} : 39
{Gene7_Down,Gene82_Down} : 37
{Gene85_Down,Gene91_UP} : 33
{Gene94_UP,Gene46_Down} : 30
{Gene30_Down,Gene45_UP} : 34
{Gene52_Down,Gene40_UP} : 32
{Gene22_UP,Gene24_Down} : 35
{Gene42_Down,Gene86_Down} : 32
{Gene32_Down,Gene25_Down} : 30
{Gene87_UP,Gene1_UP} : 45
{Gene40_Down,Gene10_Down} : 38
{Gene90_UP,Gene80_Down} : 35
{Gene99_UP,Gene11_UP} : 30
{Gene44_Down,Gene100_Down} : 30
{Gene35_Down,Gene24_Down} : 31
{Gene87_UP,Gene19_UP} : 31
{Gene24_Down,Gene50_Down} : 32
{Gene15_UP,Gene11_Down} : 30
{Gene85_UP,Gene45_UP} : 30
{Gene1_UP,Gene23_UP} : 40
